,date,pm2.5,pm10,o3,no2
174,2021-09-04,57.0,32.0,39.0,8.0
175,2021-09-05,67.0,38.0,33.0,16.0
176,2021-09-06,79.0,43.0,45.0,21.0
177,2021-09-07,96.0,48.0,44.0,18.0
178,2021-09-08,108.0,21.0,19.0,7.0
179,2021-09-09,54.0,26.0,24.0,6.0
180,2021-09-10,32.0,18.0,26.0,4.0
181,2021-09-11,35.0,16.0,23.0,8.0
182,2021-09-12,36.0,17.0,25.0,8.0
183,2021-09-13,34.0,21.0,14.0,13.0
184,2021-09-14,55.0,20.0,19.0,11.0
185,2021-09-15,48.0,23.0,24.0,12.0
186,2021-09-16,51.0,17.0,24.0,7.0
187,2021-09-17,42.0,25.0,29.0,13.0
188,2021-09-18,61.0,34.0,11.0,14.0
189,2021-09-19,86.0,17.0,14.0,10.0
190,2021-09-20,40.0,20.0,15.0,15.0
191,2021-09-21,51.0,22.0,24.0,12.0
192,2021-09-22,50.0,15.0,17.0,8.0
193,2021-09-23,36.0,18.0,21.0,6.0
194,2021-09-24,36.0,17.0,13.0,8.0
195,2021-09-25,39.0,24.0,28.0,7.0
196,2021-09-26,57.0,12.0,26.0,4.0
197,2021-09-27,26.0,14.0,23.0,6.0
198,2021-09-28,25.0,12.0,14.0,12.0
199,2021-09-29,22.0,16.0,22.0,6.0
200,2021-09-30,24.0,13.0,22.0,8.0
201,2021-04-01,68.0,13.0,29.0,4.0
202,2021-04-02,35.0,20.0,29.0,6.0
203,2021-04-03,37.0,21.0,30.0,7.0
204,2021-04-04,48.0,13.0,26.0,10.0
205,2021-04-05,37.0,9.0,20.0,11.0
206,2021-04-06,19.0,11.0,18.0,24.0
207,2021-04-07,30.0,12.0,27.0,10.0
208,2021-04-08,27.0,11.0,24.0,11.0
209,2021-04-09,28.0,15.0,26.0,8.0
210,2021-04-10,34.0,8.0,24.0,9.0
211,2021-04-11,23.0,11.0,23.0,17.0
212,2021-04-12,36.0,18.0,25.0,22.0
213,2021-04-13,49.0,19.0,27.0,17.0
214,2021-04-14,47.0,13.0,23.0,13.0
215,2021-04-15,35.0,15.0,28.0,14.0
216,2021-04-16,37.0,13.0,29.0,12.0
217,2021-04-17,31.0,14.0,33.0,11.0
218,2021-04-18,34.0,30.0,31.0,18.0
219,2021-04-19,65.0,38.0,30.0,23.0
220,2021-04-20,91.0,43.0,26.0,19.0
221,2021-04-21,95.0,21.0,25.0,10.0
