date, pm25
2019/2/11, 35
2019/2/12, 50
2019/2/13, 63
2019/2/14, 83
2019/2/15, 96
2019/2/16, 85
2019/2/17, 74
2019/2/18, 53
2019/2/19, 46
2019/2/20, 50
2019/2/21, 62
2019/2/22, 91
2019/2/23, 98
2019/2/24, 107
2019/2/25, 113
2019/2/26, 118
2019/2/27, 129
2019/2/28, 84
2019/3/1, 76
2019/3/2, 44
2019/3/3, 43
2019/3/4, 34
2019/3/5, 35
2019/3/6, 46
2019/3/7, 27
2019/3/14, 58
2019/3/15, 38
2019/3/16, 27
2019/3/17, 27
2019/3/18, 40
2019/3/19, 58
2019/3/20, 47
2019/3/21, 52
2019/3/22, 57
2019/3/23, 51
2019/3/24, 45
2019/3/25, 34
2019/3/26, 53
2019/3/27, 44
2019/3/28, 55
2019/3/29, 120
2019/3/30, 115
2019/3/31, 55
2018/10/1, 36
2018/10/2, 34
2018/10/3, 44
2018/10/4, 60
2018/10/5, 82
2018/10/6, 49
2018/10/7, 37
2018/10/8, 41
2018/10/9, 56
2018/10/10, 111
2018/10/11, 59
2018/10/12, 49
2018/10/13, 50
2018/10/14, 44
2018/10/15, 52
2018/10/16, 65
2018/10/17, 58
2018/10/18, 53
2018/10/19, 60
2018/10/20, 83
2018/10/21, 63
2018/10/22, 42
2018/10/23, 50
2018/10/24, 56
2018/10/25, 56
2018/10/26, 38
2018/10/27, 25
2018/10/28, 26
2018/10/29, 29
2018/10/30, 43
2018/10/31, 55
2018/11/1, 59
2018/11/2, 62
2018/11/3, 52
2018/11/4, 65
2018/11/5, 110
2018/11/6, 71
2018/11/7, 42
2018/11/8, 45
2018/11/9, 51
2018/11/10, 54
2018/11/11, 39
2018/11/12, 42
2018/11/13, 42
2018/11/14, 50
2018/11/16, 49
2018/11/17, 73
2018/11/18, 56
2018/11/19, 32
2018/11/20, 55
2018/11/21, 75
2018/11/22, 119
2018/11/23, 99
2018/11/24, 76
2018/11/25, 62
2018/11/26, 50
2018/11/27, 69
2018/11/28, 34
2018/11/29, 36
2018/11/30, 40
2018/12/1, 51
2018/12/2, 23
2018/12/3, 37
2018/12/4, 43
2018/12/21, 55
2018/12/22, 37
2018/12/23, 34
2018/12/24, 59
2018/12/25, 64
2018/12/26, 59
2018/12/27, 110
2018/12/28, 86
2018/12/29, 43
2018/12/30, 44
2018/7/1, 55
2018/7/2, 46
2018/7/3, 45
2018/7/4, 56
2018/7/5, 74
2018/7/6, 64
2018/7/7, 82
2018/7/8, 53
2018/7/9, 48
2018/7/11, 51
2018/7/12, 55
2018/7/13, 58
2018/7/14, 55
2018/7/15, 52
2018/7/16, 53
2018/7/17, 40
2018/7/18, 46
2018/7/19, 51
2018/7/20, 55
2018/7/21, 70
2018/7/22, 57
2018/7/23, 56
2018/7/24, 57
2018/7/25, 60
2018/7/26, 76
2018/7/27, 59
2018/7/28, 41
2018/7/29, 40
2018/7/30, 33
2018/7/31, 39
2018/8/1, 45
2018/8/2, 47
2018/8/3, 41
2018/8/4, 39
2018/8/5, 35
2018/8/6, 53
2018/8/8, 41
2018/8/9, 53
2018/8/10, 35
2018/8/11, 42
2018/8/12, 39
2018/8/13, 50
2018/8/14, 45
2018/8/15, 48
2018/8/16, 42
2018/8/17, 41
2018/8/18, 48
2018/8/19, 46
2018/8/20, 45
2018/8/22, 41
2018/8/23, 40
2018/8/24, 45
2018/8/25, 41
2018/8/26, 48
2018/8/27, 34
2018/8/28, 41
2018/8/29, 41
2018/8/30, 63
2018/8/31, 49
2018/9/1, 58
2018/9/5, 50
2018/9/6, 52
2018/9/7, 36
2018/9/8, 36
2018/9/9, 38
2018/9/10, 41
2018/9/11, 47
2018/9/12, 34
2018/9/13, 52
2018/9/14, 48
2018/9/18, 52
2018/9/20, 36
2018/9/21, 34
2018/9/22, 42
2018/9/23, 53
2018/9/24, 37
2018/9/25, 57
2018/9/26, 55
2018/9/27, 59
2018/9/28, 36
2018/9/29, 54
2018/9/30, 43
2018/4/1, 49
2018/4/2, 36
2018/4/3, 47
2018/4/4, 43
2018/4/5, 34
2018/4/6, 55
2018/4/7, 70
2018/4/8, 73
2018/4/9, 85
2018/4/10, 94
2018/4/11, 126
2018/4/12, 102
2018/4/13, 78
2018/4/14, 103
2018/4/15, 83
2018/4/16, 49
2018/4/17, 45
2018/4/18, 62
2018/4/19, 105
2018/4/23, 45
2018/4/24, 39
2018/4/25, 42
2018/4/26, 43
2018/4/27, 42
2018/5/2, 41
2018/5/3, 55
2018/5/4, 57
2018/5/5, 69
2018/5/6, 83
2018/5/7, 93
2018/5/8, 91
2018/5/9, 53
2018/5/10, 43
2018/5/11, 52
2018/5/12, 56
2018/5/13, 57
2018/5/14, 32
2018/5/15, 46
2018/5/16, 48
2018/5/17, 46
2018/5/18, 47
2018/5/19, 60
2018/5/20, 70
2018/5/21, 84
2018/5/22, 67
2018/5/23, 69
2018/5/24, 86
2018/5/25, 90
2018/5/26, 114
2018/5/27, 83
2018/5/28, 102
2018/5/29, 78
2018/5/30, 73
2018/5/31, 110
2018/6/1, 80
2018/6/2, 48
2018/6/3, 55
2018/6/4, 69
2018/6/5, 55
2018/6/6, 61
2018/6/7, 64
2018/6/8, 59
2018/6/9, 62
2018/6/10, 61
2018/6/11, 48
2018/6/12, 54
2018/6/13, 51
2018/6/14, 53
2018/6/15, 56
2018/6/16, 43
2018/6/17, 44
2018/6/18, 52
2018/6/19, 42
2018/6/20, 44
2018/6/21, 43
2018/6/22, 44
2018/6/23, 44
2018/6/24, 52
2018/6/25, 57
2018/6/26, 55
2018/6/27, 59
2018/6/28, 70
2018/6/29, 56
2018/6/30, 49
2018/1/1, 36
2018/1/2, 46
2018/1/3, 51
2018/1/4, 44
2018/1/5, 43
2018/1/6, 65
2018/1/7, 32
2018/1/8, 66
2018/1/9, 94
2018/1/10, 64
2018/1/11, 83
2018/1/12, 79
2018/1/13, 75
2018/1/14, 75
2018/1/15, 46
2018/1/16, 36
2018/1/17, 41
2018/1/18, 44
2018/1/19, 48
2018/1/20, 48
2018/1/21, 63
2018/1/22, 46
2018/1/23, 43
2018/1/24, 39
2018/1/25, 47
2018/1/26, 55
2018/1/27, 52
2018/1/28, 35
2018/1/29, 31
2018/1/30, 56
2018/1/31, 35
2018/2/1, 35
2018/2/2, 44
2018/2/3, 57
2018/2/4, 38
2018/2/5, 46
2018/2/6, 64
2018/2/7, 46
2018/2/8, 50
2018/2/9, 42
2018/2/10, 39
2018/2/11, 28
2018/2/12, 42
2018/2/13, 39
2018/2/14, 56
2018/2/15, 50
2018/2/16, 54
2018/2/17, 64
2018/2/18, 60
2018/2/19, 66
2018/2/20, 42
2018/2/21, 112
2018/2/22, 79
2018/2/23, 72
2018/2/24, 72
2018/2/25, 45
2018/2/26, 38
2018/2/27, 44
2018/2/28, 66
2018/3/1, 90
2018/3/2, 116
2018/3/3, 157
2018/3/4, 70
2018/3/5, 48
2018/3/6, 48
2018/3/7, 60
2018/3/8, 36
2018/3/9, 60
2018/3/10, 59
2018/3/11, 64
2018/3/12, 53
2018/3/13, 55
2018/3/14, 46
2018/3/15, 50
2018/3/16, 52
2018/3/17, 57
2018/3/18, 69
2018/3/19, 54
2018/3/20, 39
2018/3/21, 58
2018/3/22, 50
2018/3/23, 45
2018/3/24, 84
2018/3/25, 82
2018/3/26, 45
2018/3/27, 44
2018/3/28, 43
2018/3/29, 39
2018/3/30, 46
2018/3/31, 33
2017/10/1, 31
2017/10/2, 52
2017/10/3, 47
2017/10/4, 44
2017/10/5, 42
2017/10/6, 45
2017/10/7, 43
2017/10/8, 43
2017/10/9, 60
2017/10/10, 45
2017/10/11, 41
2017/10/12, 53
2017/10/13, 43
2017/10/14, 57
2017/10/15, 79
2017/10/16, 66
2017/10/17, 56
2017/10/18, 89
2017/10/19, 82
2017/10/20, 48
2017/10/21, 49
2017/10/22, 41
2017/10/23, 57
2017/10/24, 51
2017/10/25, 61
2017/10/26, 64
2017/10/27, 60
2017/10/28, 59
2017/10/29, 43
2017/10/30, 55
2017/10/31, 61
2017/11/1, 70
2017/11/2, 93
2017/11/3, 102
2017/11/4, 76
2017/11/5, 66
2017/11/6, 83
2017/11/7, 55
2017/11/8, 53
2017/11/9, 66
2017/11/10, 53
2017/11/11, 51
2017/11/12, 46
2017/11/13, 47
2017/11/14, 58
2017/11/15, 75
2017/11/16, 62
2017/11/17, 62
2017/11/18, 58
2017/11/19, 49
2017/11/20, 56
2017/11/21, 55
2017/11/22, 61
2017/11/23, 46
2017/11/24, 59
2017/11/25, 62
2017/11/26, 40
2017/11/27, 43
2017/11/28, 47
2017/11/29, 45
2017/11/30, 44
2017/12/1, 40
2017/12/2, 73
2017/12/3, 61
2017/12/4, 59
2017/12/5, 52
2017/12/6, 41
2017/12/7, 49
2017/12/8, 41
2017/12/9, 49
2017/12/10, 41
2017/12/11, 47
2017/12/12, 72
2017/12/13, 50
2017/12/14, 49
2017/12/15, 52
2017/12/16, 50
2017/12/17, 62
2017/12/18, 68
2017/12/19, 89
2017/12/20, 73
2017/12/21, 72
2017/12/22, 53
2017/12/23, 29
2017/12/24, 23
2017/12/25, 32
2017/12/26, 24
2017/12/27, 24
2017/12/28, 42
2017/12/29, 36
2017/12/30, 49
2017/12/31, 30
2017/7/1, 52
2017/7/2, 42
2017/7/3, 49
2017/7/4, 52
2017/7/5, 50
2017/7/6, 68
2017/7/7, 56
2017/7/8, 42
2017/7/9, 54
2017/7/10, 53
2017/7/11, 50
2017/7/12, 45
2017/7/13, 52
2017/7/14, 47
2017/7/15, 53
2017/7/16, 28
2017/7/17, 47
2017/7/18, 56
2017/7/19, 54
2017/7/20, 43
2017/7/21, 48
2017/7/22, 42
2017/7/24, 31
2017/7/25, 45
2017/7/26, 48
2017/7/27, 45
2017/7/28, 38
2017/7/29, 39
2017/7/30, 35
2017/7/31, 45
2017/8/1, 49
2017/8/2, 47
2017/8/3, 41
2017/8/4, 43
2017/8/5, 40
2017/8/6, 44
2017/8/7, 49
2017/8/8, 52
2017/8/9, 52
2017/8/10, 42
2017/8/11, 57
2017/8/12, 38
2017/8/13, 42
2017/8/14, 51
2017/8/15, 56
2017/8/16, 46
2017/8/17, 51
2017/8/18, 45
2017/8/19, 45
2017/8/20, 43
2017/8/21, 48
2017/8/22, 62
2017/8/23, 67
2017/8/24, 43
2017/8/25, 54
2017/8/26, 59
2017/8/27, 49
2017/8/28, 80
2017/8/29, 62
2017/8/30, 49
2017/8/31, 51
2017/9/1, 52
2017/9/2, 46
2017/9/3, 43
2017/9/4, 44
2017/9/5, 30
2017/9/10, 38
2017/9/11, 49
2017/9/12, 44
2017/9/13, 39
2017/9/14, 42
2017/9/15, 44
2017/9/16, 43
2017/9/17, 35
2017/9/18, 51
2017/9/19, 56
2017/9/20, 56
2017/9/21, 53
2017/9/22, 51
2017/9/23, 42
2017/9/24, 65
2017/9/25, 101
2017/9/26, 102
2017/9/27, 133
2017/9/28, 45
2017/9/29, 50
2017/9/30, 43
2017/4/1, 45
2017/4/2, 52
2017/4/3, 74
2017/4/4, 62
2017/4/5, 57
2017/4/6, 69
2017/4/7, 65
2017/4/10, 43
2017/4/11, 49
