date, pm25, pm10, no2
2018/12/16, 39, 24, 40
2018/12/17, 51, 16, 29
2018/12/18, 36, 15, 42
2018/12/19, 42, 17, 40
2018/12/20, 43, 19, 32
2018/12/21, 42, 17, 35
2018/12/22, 41, 12, 28
2018/12/23, 38, 23, 35
2018/12/24, 64, 26, 37
2018/12/25, 75, 18, 31
2018/12/26, 59, 38, 41
2018/12/27, 110, 30, 35
2018/12/28, 87, 15, 30
2018/12/29, 45, 12, 26
2018/12/30, 45, , 
2018/9/27, 64, 17, 48
2018/9/28, 40, 30, 29
2018/9/29, 56, 15, 43
2018/9/30, 44, 10, 19
2018/4/1, 51, 12, 37
2018/4/2, 44, 14, 40
2018/4/3, 43, 12, 38
2018/4/4, 36, 12, 33
2018/4/5, 35, 21, 43
2018/4/6, 57, 27, 44
2018/4/7, 78, 19, 36
2018/4/8, 65, 20, 38
2018/4/9, 71, 34, 46
2018/4/10, 87, 41, 30
2018/4/11, 107, 31, 27
2018/4/12, 86, 30, 40
2018/4/13, 77, 42, 41
2018/4/14, 108, 30, 37
2018/4/15, 80, 23, 45
2018/4/16, 46, 24, 46
2018/4/17, 51, 33, 51
2018/4/18, 90, 57, 68
2018/4/19, 138, 41, 40
2018/4/23, 42, 17, 37
2018/4/24, 45, 13, 31
2018/4/25, 37, 14, 39
2018/4/26, 40, 16, 45
2018/4/27, 51, 10, 20
2018/4/28, 39, 9, 16
2018/4/29, 35, 10, 19
2018/4/30, 34, 16, 46
2018/5/1, 47, 11, 35
2018/5/2, 34, 17, 39
2018/5/3, 53, 25, 45
2018/5/4, 67, 31, 53
2018/5/5, 89, 34, 46
2018/5/6, 99, 41, 55
2018/5/7, 118, 45, 54
2018/5/8, 148, 11, 38
2018/5/9, 26, 11, 27
2018/5/10, 41, 16, 46
2018/5/11, 44, 12, 45
2018/5/12, 53, 15, 26
2018/5/13, 48, 11, 25
2018/5/14, 25, 16, 30
2018/5/15, 36, 16, 24
2018/5/16, 46, 20, 31
2018/5/17, 42, 21, 37
2018/5/18, 50, 31, 40
2018/5/19, 65, 32, 35
2018/5/20, 76, 41, 48
2018/5/21, 104, 29, 27
2018/5/22, 47, 23, 26
2018/5/23, 40, 40, 38
2018/5/24, 63, 42, 41
2018/5/25, 53, 57, 40
2018/1/1, 24, 11, 41
2018/1/2, 35, 12, 29
2018/1/3, 34, 11, 42
2018/1/4, 32, 13, 51
2018/1/5, 36, 17, 38
2018/1/6, 57, 10, 29
2018/1/7, 31, 14, 29
2018/1/8, 49, 24, 41
2018/1/9, 78, 15, 50
