date, pm25, pm10, o3, no2, so2, co
2016/1/3, 37, 23, 5, 42, , 5
2015/7/1, 80, 24, 12, 65, 6, 7
2015/7/2, 69, 12, 16, 42, 4, 4
2015/7/3, 41, 28, 12, 38, 4, 1
2015/7/4, 79, 21, 11, 33, 4, 3
2015/7/5, 58, 20, 8, 49, 6, 4
2015/7/6, 57, 18, 6, 53, 5, 4
2015/7/7, 51, 12, 17, 33, 3, 3
2015/7/8, 44, 13, 12, 38, 2, 2
2015/7/9, 39, 22, 11, 65, 5, 4
2015/7/10, 62, 17, 9, 43, 4, 3
2015/7/11, 57, 18, 4, 38, 4, 5
2015/7/12, 57, 20, 3, 45, 6, 5
2015/7/13, 63, 14, 1, 40, 5, 5
2015/7/14, 53, 8, 7, 30, 5, 4
2015/7/15, 47, 32, 18, 52, 4, 4
2015/7/16, 65, 29, 13, 59, 5, 6
2015/7/17, 64, 22, 9, 53, 5, 5
2015/7/18, 62, 18, 12, 47, 4, 5
2015/7/19, 49, 20, 6, 44, 5, 6
2015/7/20, 57, 21, 7, 57, 5, 6
2015/7/21, 58, 21, 9, 57, 5, 6
2015/7/22, 56, 18, 8, 51, 5, 5
2015/7/23, 34, 14, 17, 35, 3, 4
2015/7/24, 8, 10, 18, 21, 2, 4
2015/7/25, 7, 18, 5, 45, 4, 7
2015/7/26, 5, 18, 7, 52, 6, 7
2015/7/27, 42, 16, 8, 48, 5, 7
2015/7/28, 48, 14, 13, 31, 4, 5
2015/7/29, 40, 10, 15, 15, 2, 2
2015/7/30, 31, 23, 8, 53, 5, 7
2015/7/31, 64, 20, 8, 45, 5, 5
2015/8/1, 61, 17, 15, 48, 4, 5
2015/8/2, 54, 21, 12, 43, 5, 6
2015/8/3, 63, 23, 10, 34, 5, 5
2015/8/4, 56, 24, 2, 62, 4, 7
2015/8/5, 64, 21, 3, 59, 6, 6
2015/8/6, 63, 17, 11, 37, 3, 3
2015/8/7, 52, 20, 9, 40, 2, 3
2015/8/8, 57, 20, 7, 49, 3, 4
2015/8/9, 60, 21, 5, 38, 4, 3
2015/8/10, 58, 17, 5, 34, 4, 1
2015/8/11, 45, 12, 12, 24, 1, 
2015/8/12, 38, 19, 13, 17, 1, 2
2015/8/13, 56, 29, 7, 41, 5, 2
2015/8/14, 82, 17, 17, 18, 3, 3
2015/8/15, 49, 16, 12, 26, 3, 3
2015/8/16, 53, 17, 18, 24, 2, 2
2015/8/17, 48, 25, 11, 47, 5, 5
2015/8/18, 71, 23, 6, 52, 5, 6
2015/8/19, 67, 20, 6, 42, 6, 6
2015/8/20, 60, 19, 5, 44, 6, 5
2015/8/21, 58, 17, 13, 37, 4, 4
2015/8/22, 58, 22, 13, 43, 4, 5
2015/8/23, 68, 11, 9, 24, 4, 2
2015/8/24, 38, 21, 7, 43, 6, 4
2015/8/25, 59, 18, 7, 39, 5, 3
2015/8/26, 60, 21, 4, 45, 5, 3
2015/8/27, 61, 22, 3, 47, 5, 4
2015/8/28, 57, 18, 4, 39, 4, 3
2015/8/29, 57, 16, 14, 15, 1, 2
2015/8/30, 49, 8, 12, 8, 1, 1
2015/8/31, 27, 12, 11, 24, 3, 3
2015/9/1, 48, 15, 8, 36, 4, 4
2015/9/2, 51, 10, 8, 34, 3, 3
2015/9/3, 38, 9, 9, 29, 2, 3
2015/9/4, 31, 11, 10, 26, 2, 3
2015/9/5, 43, 17, 15, 29, 2, 3
2015/9/6, 47, 9, 10, 24, 1, 2
2015/9/7, 33, 8, 11, 25, 1, 2
2015/9/8, 29, 14, 12, 30, 3, 2
2015/9/9, 46, 20, 7, 41, 4, 4
2015/9/10, 63, 24, 8, 42, 5, 5
2015/9/11, 73, 18, 6, 38, 4, 5
2015/9/12, 63, 16, 9, 28, 4, 4
2015/9/13, 49, 17, 9, 35, 6, 6
2015/9/14, 55, 17, 11, 43, 7, 6
2015/9/15, 59, 10, 15, 18, 3, 2
2015/9/16, 35, 19, 12, 46, 6, 5
2015/9/17, 61, 15, 6, 32, 6, 4
2015/9/18, 53, 13, 14, 17, 3, 3
2015/9/19, 53, 27, 5, 49, 5, 6
2015/9/20, 85, 24, 8, 59, 7, 7
2015/9/21, 78, 13, 6, 39, 5, 3
2015/9/22, 44, 22, 3, 52, 6, 3
2015/9/23, 58, 25, 5, 57, 6, 6
2015/9/24, 63, 20, 9, 40, 4, 4
2015/9/25, 52, 17, 11, 37, 3, 3
2015/9/26, 56, 12, 10, 33, 2, 3
2015/9/27, 40, 13, 8, 40, 3, 3
2015/9/28, 45, 13, 12, 31, 2, 3
2015/9/29, 46, 19, 10, 34, 2, 3
2015/9/30, 47, 21, 17, 27, 1, 3
2015/4/1, 40, 15, 14, 29, 3, 4
2015/4/2, 36, 19, 8, 26, 3, 3
2015/4/3, 55, 17, 16, 11, 1, 2
2015/4/4, 53, 17, 15, 21, 1, 3
2015/4/5, 54, 22, 18, 24, 2, 3
2015/4/6, 63, 22, 16, 37, 4, 4
2015/4/7, 46, , , , , 
2015/4/9, 135, 55, 8, 70, 5, 
2015/4/10, 130, 24, 15, 34, 3, 
2015/4/11, 43, 23, 19, 37, 3, 
2015/4/12, 43, 26, 16, 36, 4, 
2015/4/13, 52, 29, 6, 49, 6, 3
2015/4/14, 66, 30, 12, 49, 5, 4
2015/4/15, 69, 19, 14, 33, 3, 2
2015/4/16, 51, 12, 22, 26, 1, 1
2015/4/17, 28, 13, 25, 20, 1, 1
2015/4/18, 34, 10, 26, 13, , 15
2015/4/19, 28, 26, 13, 34, 2, 16
2015/4/20, 59, 20, 19, 28, 1, 12
2015/4/21, 52, 18, 19, 27, 2, 8
2015/4/22, 53, 22, 16, 50, 4, 4
2015/4/23, 59, 44, 9, 72, 7, 6
2015/4/24, 106, 20, 9, 49, 6, 4
2015/4/25, 56, 10, 21, 21, 2, 1
2015/4/26, 32, 15, 10, 33, 4, 2
2015/4/27, 41, 17, 8, 45, 5, 2
2015/4/28, 42, 22, 10, 61, 6, 3
2015/4/29, 53, 16, 16, 46, 5, 2
2015/4/30, 43, 19, 21, 22, 4, 2
2015/5/1, 34, 23, 11, 17, 5, 
2015/5/2, 51, 17, 19, 12, 5, 
2015/5/3, 44, 16, 18, 17, 6, 
2015/5/4, 43, 23, 19, 24, 6, 1
2015/5/5, 49, 21, 18, 32, 6, 2
2015/5/6, 49, 22, 10, 35, 7, 5
2015/5/7, 46, 34, 11, 42, 5, 2
