Middle Super Output Area,Table 1: 2013 Available Low Grade Heat;Typical Temperature;Greater London Totals (GWh);As a % of total heat demand;MSOA Name, Open Loop Ground Source Abstraction, Closed Loop Ground Source Abstraction, Air Source Heat Pumps, Rivers (10% Abstraction), Power Stations,Building Heat Rejection;Office,Building Heat Rejection;Retail,Building Heat Rejection;Gyms, Industrial Sources;Part A Processes, Industrial Sources;Part B Processes,Commercial Building Sources - Non HVAC;Supermarkets,Commercial Building Sources - Non HVAC;Data Centres, Wastewater (Treatment Plants);, Tubre rejected, National Grid Infrastructure, UKPN Infrastructure, Sewer heat mining;Various, TOTAL;GWh 
E02000632,Lambeth 015,11,323,,, -   ,"4,166","4,896", -   , -   , -   ,578, -   , -   ,, -   , -   ,"3,536",14
E02000633,Lambeth 016,96,"2,732","35,626",, -   ,472,"4,305", -   , -   , -   ,"1,854", -   , -   ,, -   ,"1,530","3,072",50
E02000634,Lambeth 017,55,"1,568",,, -   ,"3,255","11,429", -   , -   , -   ,144, -   , -   ,, -   , -   ,"2,657",19
E02000635,Lambeth 018, -   , -   ,,, -   ,342,974, -   , -   , -   ,144, -   , -   ,, -   , -   ,"6,540",8
E02000636,Lambeth 019,336,"9,549",,, -   ,559,"11,494", -   , -   , -   ,"1,709", -   , -   ,131, -   , -   ,"2,676",26
E02000637,Lambeth 020,1,20,,, -   ,"3,873","1,078", -   , -   , -   ,144, -   , -   ,, -   , -   ,"2,967",8
E02000638,Lambeth 021,153,"4,284",,, -   ,559,"1,052", -   , -   , -   ,144, -   , -   ,, -   , -   ,"3,419",10
E02000639,Lambeth 022,153,"4,357",,, -   ,559,"6,289", -   , -   , -   ,144, -   , -   ,, -   , -   ,"3,341",15
E02000640,Lambeth 023,60,"1,702",,, -   ,"3,385","4,691", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,283",13
E02000641,Lambeth 024,0,6,,, -   ,559,"1,104", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,2
E02000642,Lambeth 025,111,60,,, -   ,515,"1,273", -   , -   , -   ,433, -   , -   ,, -   , -   ,"3,554",6
E02000643,Lambeth 026,85,"2,407",,, -   ,559,"1,065", -   , -   , -   ,433, -   , -   ,, -   , -   ,"12,662",17
E02000644,Lambeth 027,43,"1,233",,, -   ,559,"1,195", -   , -   , -   ,578, -   , -   ,, -   , -   , -   ,4
E02000645,Lambeth 028,6,95,"58,747",, -   ,304,"1,169", -   , -   , -   , -   , -   , -   ,, -   ,"1,387","3,319",65
E02000646,Lambeth 029,76,"2,170",,, -   ,532,"5,318", -   , -   , -   ,866, -   , -   ,, -   , -   , -   ,9
E02000647,Lambeth 030,44,"1,244",,, -   ,559,"4,691", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,7
E02000648,Lambeth 031,4,1,,, -   ,559,"4,691", -   , -   ,998, -   , -   , -   ,, -   , -   ,"2,766",9
E02000649,Lambeth 032,36,"1,013",,, -   ,423,"1,065", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,892",6
E02000650,Lambeth 033,165,"4,701",,, -   ,385,"1,130", -   , -   , -   , -   , -   , -   ,, -   , -   ,"2,985",9
E02000651,Lambeth 034,55,"1,552",,, -   ,499,"4,939", -   , -   , -   ,144, -   , -   ,, -   , -   ,"3,117",10
E02000652,Lambeth 035,41,807,,, -   ,515,"4,691", -   , -   , -   , -   , -   , -   ,, -   , -   ,"2,725",9
E02000653,Lewisham 001,179,"4,932",,, -   ,"3,548","5,529", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,072",17
E02000654,Lewisham 002,236,"6,621",,, -   ,456,974,280, -   , -   , -   , -   , -   ,, -   , -   ,"3,154",12
E02000655,Lewisham 003,138,"3,939",,,"551,880",416,"9,806",140, -   , -   ,144, -   , -   ,, -   , -   ,"3,318",570
E02000656,Lewisham 004,169,"4,543","215,554",, -   ,434,987,140, -   , -   , -   , -   , -   ,, -   ,"4,203","3,377",229
E02000657,Lewisham 005,90,"2,075",,, -   ,380,"1,026",140, -   , -   ,144, -   , -   ,, -   , -   ,"3,425",7
E02000658,Lewisham 006,124,"3,530",,, -   ,418,"1,000",140, -   , -   , -   , -   , -   ,, -   , -   ,"3,229",8
E02000659,Lewisham 007,369,"10,490",,, -   ,515,"9,806",140, -   , -   , -   , -   , -   ,, -   , -   ,"2,902",24
E02000660,Lewisham 008,83,"2,357",,, -   ,401,922, -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,022",7
E02000661,Lewisham 009,770,"21,726",,, -   ,412,"11,624", -   , -   , -   ,144, -   , -   ,, -   , -   ,"2,299",37
E02000662,Lewisham 010,114,"2,717",,, -   ,277,831,140, -   , -   , -   , -   , -   ,, -   , -   ,"2,913",7
E02000663,Lewisham 011,127,"3,615",,, -   ,416,"4,727", -   , -   , -   ,144, -   , -   ,, -   , -   ,"2,708",12
E02000664,Lewisham 012,275,"7,696",,, -   ,472,"5,741",280, -   , -   ,"1,854", -   , -   ,, -   , -   ,"3,571",20
E02000665,Lewisham 013,60,"1,628","27,258",, -   ,461,"4,305", -   , -   , -   , -   , -   , -   ,, -   ,997,"5,269",40
E02000666,Lewisham 014,225,"6,415",,, -   ,416,"1,130", -   , -   , -   , -   , -   , -   ,, -   , -   ,"2,880",11
E02000667,Lewisham 015,102,"2,899",,, -   ,380,"1,130",140, -   , -   , -   , -   , -   ,, -   , -   ,"2,476",7
E02000668,Lewisham 016,32,900,,, -   ,416,"4,770", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,6
E02000669,Lewisham 017,19,548,,, -   ,407,"1,117", -   , -   , -   ,144, -   , -   ,, -   , -   ,"2,861",5
E02000670,Lewisham 018,169,"4,647",,, -   ,369,"5,065", -   , -   , -   , -   , -   , -   ,, -   , -   ,"5,556",16
E02000671,Lewisham 019,176,"4,929",,, -   ,407,"1,078",140, -   , -   , -   , -   , -   ,, -   , -   , -   ,7
E02000672,Lewisham 020,319,"9,072",,, -   ,380,"4,305",420, -   , -   ,"2,865", -   , -   ,, -   , -   ,"3,175",21
E02000673,Lewisham 021,89,"2,541",,, -   ,353,"4,516",140, -   , -   ,289, -   , -   ,, -   , -   , -   ,8
E02000674,Lewisham 022,14,101,,, -   ,416,948, -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,1
E02000675,Lewisham 023,225,"5,374",,, -   ,416,"1,013", -   , -   , -   ,144, -   , -   ,, -   , -   ,"3,155",10
E02000676,Lewisham 024,35,913,"36,552",, -   ,477,"1,000", -   , -   , -   ,144, -   , -   ,, -   ,884, -   ,40
E02000677,Lewisham 025,31,763,,, -   ,385,"1,234", -   , -   , -   , -   , -   , -   ,, -   , -   ,"5,806",8
E02000678,Lewisham 026,167,"4,351",,, -   ,416,"4,293", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,9
E02000679,Lewisham 027,195,"5,240",,, -   ,416,"1,065", -   , -   , -   , -   , -   , -   ,, -   , -   ,"2,904",10
E02000680,Lewisham 028,131,"3,726","178,902",, -   ,342,"1,026",280, -   , -   , -   , -   , -   ,, -   ,"5,340", -   ,190
E02000681,Lewisham 029,536,"12,245",,, -   ,416,"10,000",280, -   , -   , -   , -   , -   ,, -   , -   ,"6,118",30
E02000682,Lewisham 030,246,"6,657","39,717",, -   ,416,"4,293",140, -   , -   , -   , -   , -   ,, -   ,"1,644", -   ,53
E02000683,Lewisham 031,102,"2,374",,, -   ,412,"5,234", -   , -   , -   , -   , -   , -   ,, -   , -   ,"2,563",11
E02000684,Lewisham 032,192,"5,433",,, -   ,416,"4,390",280, -   , -   ,289, -   , -   ,, -   , -   ,"5,262",16
E02000685,Lewisham 033,256,"6,746",,, -   ,416,"1,234",280, -   , -   ,289, -   , -   ,, -   , -   , -   ,9
E02000686,Lewisham 034,997,"27,802",,, -   ,401,"1,104",280, -   , -   ,144, -   , -   ,, -   , -   ,"2,620",33
E02000687,Lewisham 035,35,639,,, -   ,434,"1,117", -   , -   , -   ,578, -   , -   ,, -   , -   , -   ,3
E02000688,Lewisham 036,647,"18,056",,, -   ,416,"5,783", -   , -   , -   ,144, -   , -   ,, -   , -   ,"2,827",28
E02000689,Merton 001,77,"1,139","457,548",, -   ,612,"10,520",140, -   , -   , -   , -   , -   ,,"29,200","14,476","3,296",517
E02000690,Merton 002,366,"10,164",,, -   ,"17,560","5,425",140, -   , -   , -   , -   , -   ,, -   , -   , -   ,34
E02000691,Merton 003,33,829,,, -   ,"6,727","16,559", -   , -   , -   ,578, -   , -   ,, -   , -   , -   ,25
E02000692,Merton 004,27,775,,, -   ,"8,072","13,767",140, -   , -   ,289, -   , -   ,, -   , -   , -   ,23
E02000693,Merton 005,218,"6,197",,, -   ,505,"13,247",280, -   , -   ,144, -   , -   ,, -   , -   ,"3,677",24
E02000694,Merton 006,68,"1,895",,, -   ,"3,873","5,909",140, -   , -   ,144, -   , -   ,, -   , -   ,"3,666",16
