Middle Super Output Area,Table 1: 2013 Available Low Grade Heat;Typical Temperature;Greater London Totals (GWh);As a % of total heat demand;MSOA Name, Open Loop Ground Source Abstraction, Closed Loop Ground Source Abstraction, Air Source Heat Pumps, Rivers (10% Abstraction), Power Stations,Building Heat Rejection;Office,Building Heat Rejection;Retail,Building Heat Rejection;Gyms, Industrial Sources;Part A Processes, Industrial Sources;Part B Processes,Commercial Building Sources - Non HVAC;Supermarkets,Commercial Building Sources - Non HVAC;Data Centres, Wastewater (Treatment Plants);, Tubre rejected, National Grid Infrastructure, UKPN Infrastructure, Sewer heat mining;Various, TOTAL;GWh 
E02000918,Waltham Forest 024,26,549,,, -   ,423,"1,260",140, -   , -   ,"1,709", -   , -   ,, -   , -   , -   ,4
E02000919,Waltham Forest 025,23,615,,, -   ,494,"1,143", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,2
E02000920,Waltham Forest 026,569,"13,868",,, -   ,"3,288","10,000",140, -   , -   ,"1,998", -   , -   ,, -   , -   ,"6,513",36
E02000921,Waltham Forest 027,39,"1,073",,, -   ,532,948,140, -   , -   , -   , -   , -   ,, -   , -   , -   ,3
E02000922,Waltham Forest 028,0,2,,, -   ,494,948, -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,1
E02000923,Wandsworth 001,4,116,,, -   ,"8,159","10,000", -   , -   , -   ,289, -   , -   ,, -   , -   ,"2,626",21
E02000924,Wandsworth 002,420,"11,962",,, -   ,"4,752","4,516", -   , -   , -   ,144,325, -   ,, -   , -   ,"3,684",26
E02000925,Wandsworth 003,50,"1,433",,, -   ,"4,069","4,516", -   , -   , -   , -   , -   , -   ,, -   , -   ,"2,693",13
E02000926,Wandsworth 004,100,"2,839",,, -   ,"7,595","10,260", -   , -   , -   ,289, -   , -   ,, -   , -   ,"3,051",24
E02000927,Wandsworth 005,11,319,,, -   ,"3,613","5,529", -   , -   , -   ,144, -   , -   ,, -   , -   ,"2,565",12
E02000928,Wandsworth 006,276,"7,862",,, -   ,"4,655","6,205", -   , -   , -   ,144, -   , -   ,, -   , -   ,"3,369",23
E02000929,Wandsworth 007,52,"1,480",,, -   ,670,"1,156", -   , -   , -   , -   , -   , -   ,, -   , -   ,"2,609",6
E02000930,Wandsworth 008,61,"1,750",,, -   ,"4,004","13,117", -   , -   , -   ,"2,720", -   , -   ,, -   , -   ,"3,310",25
E02000931,Wandsworth 009,330,"9,401",,, -   ,670,"5,909", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,088",19
E02000932,Wandsworth 010,121,"3,433","49,557","42,689.00", -   ,"4,850","13,442", -   , -   , -   ,578, -   , -   ,, -   ,"1,566","4,086",120
E02000933,Wandsworth 011,32,746,,, -   ,"7,248","6,036", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,286",17
E02000934,Wandsworth 012,15,435,,, -   ,472,"9,806", -   , -   ,560,433, -   , -   ,, -   , -   ,"3,253",15
E02000935,Wandsworth 013,90,"2,572",,, -   ,"3,808",857, -   , -   , -   , -   , -   , -   ,, -   , -   ,"2,363",10
E02000936,Wandsworth 014,42,"1,184",,, -   ,"6,597","5,459", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,377",17
E02000937,Wandsworth 015,544,"15,472",,, -   ,"3,776","12,533", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,015",35
E02000938,Wandsworth 016,422,"11,322",,, -   ,"4,752",675, -   , -   , -   , -   , -   , -   ,, -   , -   ,"8,484",26
E02000939,Wandsworth 017,86,"2,443",,, -   ,670,"5,459", -   , -   , -   ,289, -   , -   ,, -   , -   ,"3,099",12
E02000940,Wandsworth 018,131,"3,728",,, -   ,"3,288","10,520", -   , -   , -   ,433, -   , -   ,, -   , -   ,"3,160",21
E02000941,Wandsworth 019,166,"4,734",,, -   ,"3,320","1,234", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,999",13
E02000942,Wandsworth 020,23,659,,, -   ,"3,678","10,910", -   , -   , -   ,289, -   , -   ,, -   , -   ,"10,710",26
E02000943,Wandsworth 021,106,"2,991",,, -   ,"4,297","5,867", -   , -   , -   ,866, -   , -   ,131, -   , -   ,"3,056",17
E02000944,Wandsworth 022,57,"1,625",,, -   ,670,"1,143", -   , -   , -   , -   , -   , -   ,, -   , -   ,"2,890",6
E02000945,Wandsworth 023,238,"6,371",,, -   ,"3,548","10,325", -   , -   , -   ,"1,709", -   , -   ,, -   , -   , -   ,22
E02000946,Wandsworth 024,13,7,,, -   ,"4,232","1,286", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,129",9
E02000947,Wandsworth 025,154,"4,185",,, -   ,"3,483","4,263", -   , -   , -   ,144, -   , -   ,, -   , -   , -   ,12
E02000948,Wandsworth 026,694,"19,743",,, -   ,"4,101","1,234", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,650",29
E02000949,Wandsworth 027,310,"8,815",,, -   ,521,"12,988", -   , -   , -   ,289, -   , -   ,, -   , -   ,"3,693",27
E02000950,Wandsworth 028,168,"4,779",,, -   ,670,"5,150", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,11
E02000951,Wandsworth 029,5,144,"39,920",, -   ,"4,101","5,234", -   , -   , -   ,866, -   , -   ,131, -   ,"1,782","2,494",55
E02000952,Wandsworth 030,104,"2,961",,, -   ,461,"1,182", -   , -   , -   , -   , -   , -   ,, -   , -   ,"2,306",7
E02000953,Wandsworth 031,37,209,,, -   ,670,"1,260", -   , -   , -   , -   , -   , -   ,, -   , -   ,"2,654",5
E02000954,Wandsworth 032,4,83,,, -   ,418,"6,163", -   , -   , -   ,144, -   , -   ,, -   , -   ,"2,346",9
E02000955,Wandsworth 033,36,"1,012",,, -   ,"3,483","10,520", -   , -   , -   ,578, -   , -   ,, -   , -   ,"2,419",18
E02000956,Wandsworth 034,46,"1,317",,,"3,367","3,320","4,685", -   , -   ,560,289, -   , -   ,131, -   , -   ,"2,593",16
E02000957,Wandsworth 035,7,196,,, -   ,494,"5,192", -   , -   , -   ,"1,011", -   , -   ,, -   , -   ,"3,506",10
E02000958,Wandsworth 036,187,"5,318",,, -   ,670,"5,459", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,082",15
E02000959,Wandsworth 037,14,397,,, -   ,"6,684",883, -   , -   , -   , -   , -   , -   ,, -   , -   ,"2,693",11
E02000960,Westminster 001,2,44,,, -   ,"4,166","24,806",140, -   , -   ,144, -   , -   ,, -   , -   ,"3,175",32
E02000961,Westminster 002,64,"1,829",,, -   ,"4,134","12,598", -   , -   , -   , -   , -   , -   ,262, -   , -   ,"4,078",23
E02000962,Westminster 003,36,"1,013","112,993",, -   ,"7,725","16,769", -   , -   , -   , -   , -   , -   ,,"29,200","3,723","4,719",176
E02000963,Westminster 004,20,561,,, -   ,"6,727","4,770",140, -   , -   , -   , -   , -   ,, -   , -   ,"3,869",16
E02000964,Westminster 005,12,346,,, -   ,"4,557","5,065", -   , -   , -   ,289, -   , -   ,, -   , -   ,"4,472",15
E02000965,Westminster 006,143,"4,073","31,905",, -   ,"4,524","5,825",140, -   , -   , -   , -   , -   ,, -   ,"1,304","4,033",52
E02000966,Westminster 007,52,"1,484",,, -   ,"6,597","14,286",140, -   , -   ,289, -   , -   ,, -   , -   ,"4,158",27
E02000967,Westminster 008,2,61,,, -   ,"18,131","18,313",140, -   , -   ,433, -   , -   ,262, -   , -   ,"3,525",41
E02000968,Westminster 009,61,"1,750",,, -   ,"4,752","10,390",140, -   , -   ,433, -   , -   ,131,"29,200", -   ,"6,302",53
E02000969,Westminster 010,81,"2,313",,, -   ,"4,101","16,769",280, -   , -   , -   , -   , -   ,, -   , -   ,"4,248",28
E02000970,Westminster 011,75,"2,127","78,252",, -   ,"22,787","19,741",560, -   , -   ,"1,011", -   , -   ,131, -   ,"3,957","3,910",133
E02000971,Westminster 012,16,449,,, -   ,"19,928","19,416",280, -   , -   ,144, -   , -   ,, -   , -   ,"4,247",44
E02000972,Westminster 013,32,915,"90,810",, -   ,"22,378","27,923","1,680", -   , -   ,866, -   , -   ,523, -   ,"3,654","3,385",152
E02000973,Westminster 014,24,669,"136,397",, -   ,"6,684","15,975",140, -   , -   ,433, -   , -   ,, -   ,"6,073","3,834",170
E02000974,Westminster 015,66,"1,882",,, -   ,"19,928","19,546", -   , -   , -   ,433, -   , -   ,, -   , -   ,"3,748",46
E02000975,Westminster 016,19,552,,, -   ,"19,111","13,442",140, -   , -   ,722, -   , -   ,131, -   , -   ,"3,638",38
E02000976,Westminster 017,42,"1,184",,, -   ,"7,248","22,404",560, -   , -   ,433, -   , -   ,, -   , -   ,"4,444",36
E02000977,Westminster 018,5,151,"149,473",, -   ,"23,113","31,430","1,260", -   , -   ,"1,588", -   , -   ,392, -   ,"5,017","3,669",216
E02000978,Westminster 019,3,83,"230,366",, -   ,"21,643","12,403", -   , -   , -   ,144, -   , -   ,262, -   ,"8,730","4,831",278
E02000979,Westminster 020, -   , -   ,,, -   ,"20,336","16,105",840, -   , -   ,578, -   , -   ,131, -   , -   ,"4,589",43
E02000980,Westminster 021,54,"1,549","39,642",, -   ,"18,458","16,769", -   , -   , -   , -   , -   , -   ,, -   ,"2,670", -   ,79
E02000981,Westminster 022,1,22,,, -   ,"19,356","11,299",140, -   , -   ,433, -   , -   ,131, -   , -   , -   ,31
E02000982,Westminster 023,42,"1,188",,, -   ,"22,460","27,599",280, -   , -   ,289, -   , -   ,, -   , -   ,"3,977",56
E02000983,Westminster 024,88,"2,501",,, -   ,"18,540","10,390",140, -   , -   , -   , -   , -   ,, -   , -   , -   ,32
