Middle Super Output Area,MSOA Name, Open Loop Ground Source Abstraction, Closed Loop Ground Source Abstraction, Air Source Heat Pumps, Rivers (10% Abstraction), Power Stations,Building Heat Rejection;Office,Building Heat Rejection;Retail,Building Heat Rejection;Gyms, Industrial Sources;Part A Processes, Industrial Sources;Part B Processes,Commercial Building Sources - Non HVAC;Supermarkets,Commercial Building Sources - Non HVAC;Data Centres, Wastewater (Treatment Plants);, Tubre rejected, National Grid Infrastructure, UKPN Infrastructure, Sewer heat mining;Various, TOTAL;GWh 
E02000901,Waltham Forest 007,159,"4,183", -   , -   , -   ,439,"1,146", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,289",9
E02000902,Waltham Forest 008,372,"10,576", -   , -   , -   ,444,"4,255",126, -   , -   , -   , -   , -   , -   , -   , -   ,"2,972",19
E02000903,Waltham Forest 009,733,"18,524","18,363", -   , -   ,444,958, -   , -   , -   , -   , -   , -   , -   , -   ,"1,618","3,275",44
E02000904,Waltham Forest 010,262,"6,258", -   , -   , -   ,444,"4,217",126, -   , -   , -   , -   , -   , -   , -   , -   , -   ,11
E02000905,Waltham Forest 011,276,"7,134", -   , -   , -   ,410,"1,110", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"5,838",15
E02000906,Waltham Forest 012,28,809, -   , -   , -   ,"3,398",935,126, -   , -   , -   , -   , -   , -   , -   , -   ,"3,370",9
E02000907,Waltham Forest 013,77,"1,446", -   , -   , -   ,391,947, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,3
E02000908,Waltham Forest 014,550,"15,432", -   , -   , -   ,444,900,126, -   , -   , -   , -   , -   ,131, -   , -   ,"3,300",21
E02000909,Waltham Forest 015,209,"5,547", -   , -   , -   ,405,923, -   , -   , -   ,108, -   , -   , -   , -   , -   , -   ,7
E02000910,Waltham Forest 016,21,590,"28,608", -   , -   ,366,"3,837", -   , -   , -   ,108, -   , -   , -   , -   ,"2,439", -   ,36
E02000911,Waltham Forest 017,61,"1,394", -   , -   , -   ,395,"4,901",252, -   , -   ,"1,932", -   , -   , -   , -   , -   ,"13,937",23
E02000912,Waltham Forest 018,948,"25,405","14,970", -   , -   ,444,"3,859",252, -   , -   ,217, -   , -   , -   , -   ,"3,529","3,152",53
