Middle Super Output Area,MSOA name, Open Loop Ground Source Abstraction, Closed Loop Ground Source Abstraction, Air Source Heat Pumps, Rivers (10% Abstraction), Power Stations,Building Heat Rejection;Office,Building Heat Rejection;Retail,Building Heat Rejection;Gyms, Industrial Sources;Part A Processes, Industrial Sources;Part B Processes,Commercial Building Sources - Non HVAC;Supermarkets,Commercial Building Sources - Non HVAC;Data Centres, Wastewater (Treatment Plants);, Tubre rejected, National Grid Infrastructure, UKPN Infrastructure, Sewer heat mining;Various, TOTAL;GWh ,
E02000268,Ealing 031,218,"4,520", -   , -   , -   ,"8,411","12,888",163, -   , -   ,137, -   , -   , -   , -   , -   , -   ,26,
E02000269,Ealing 032,68,"2,334", -   , -   , -   ,"7,803","11,371",163, -   , -   ,275, -   , -   , -   , -   , -   , -   ,22,
E02000270,Ealing 033,123,"3,804", -   , -   , -   ,450,"1,440",163, -   , -   , -   , -   , -   , -   , -   , -   , -   ,6,
E02000271,Ealing 034,6,195, -   , -   , -   ,"3,800","5,568",163, -   , -   , -   , -   , -   , -   , -   , -   ,"28,934",39,
E02000272,Ealing 035,615,"19,622", -   , -   , -   ,614,"5,617",163, -   , -   , -   , -   , -   , -   , -   , -   ,"13,525",40,
E02000273,Ealing 036,153,"5,241", -   , -   , -   ,"8,816","6,455",163, -   , -   , -   , -   , -   , -   , -   , -   ,"4,014",25,
E02000274,Ealing 037,148,"5,068", -   , -   , -   ,551,"6,554",327, -   , -   , -   , -   , -   , -   , -   , -   , -   ,13,
E02000275,Ealing 038,125,"3,292", -   , -   , -   ,728,"11,447", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,16,
E02000276,Ealing 039,172,"4,844", -   , -   , -   ,"4,940","6,751", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"13,050",30,
E02000277,Enfield 001,286,"8,473", -   , -   , -   ,623,"1,258",163, -   , -   ,137, -   , -   , -   , -   , -   , -   ,11,
E02000278,Enfield 002,380,"11,136", -   , -   , -   ,623,"5,765", -   , -   , -   ,275, -   , -   , -   , -   , -   ,"4,845",23,
E02000279,Enfield 003,848,"28,577", -   , -   , -   ,"4,598","1,365",163, -   , -   ,137, -   , -   , -   , -   , -   ,"9,963",46,
E02000280,Enfield 004,202,"4,584", -   , -   , -   ,551,"1,122",163, -   , -   , -   , -   , -   , -   , -   , -   ,"13,388",20,
E02000281,Enfield 005,654,"17,494", -   , -   , -   ,"3,838","6,249", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,28,
