Middle Super Output Area,MSOA name, Open Loop Ground Source Abstraction, Closed Loop Ground Source Abstraction, Air Source Heat Pumps, Rivers (10% Abstraction), Power Stations,Building Heat Rejection;Office,Building Heat Rejection;Retail,Building Heat Rejection;Gyms, Industrial Sources;Part A Processes, Industrial Sources;Part B Processes,Commercial Building Sources - Non HVAC;Supermarkets,Commercial Building Sources - Non HVAC;Data Centres, Wastewater (Treatment Plants);, Tubre rejected, National Grid Infrastructure, UKPN Infrastructure, Sewer heat mining;Various, TOTAL;GWh ,
E02000539,Hounslow 014,129,"4,409", -   , -   , -   ,"4,712","6,455",163, -   , -   ,137, -   , -   , -   , -   , -   ,"5,459",21,
E02000540,Hounslow 015,315,"8,345", -   , -   , -   ,"3,990","5,568", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"11,207",29,
E02000541,Hounslow 016,75,"2,567", -   , -   , -   ,"4,826","5,420", -   , -   , -   ,275, -   , -   , -   , -   , -   , -   ,13,
E02000542,Hounslow 017,73,"2,487", -   , -   , -   ,"4,788","6,348", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"20,795",34,
E02000543,Hounslow 018,110,"3,688", -   , -   , -   ,"4,142","6,948",163, -   , -   , -   , -   , -   , -   , -   , -   ,"6,692",22,
E02000544,Hounslow 019,218,"5,127", -   , -   ,"85,722","4,712","5,075", -   , -   , -   , -   , -   ,"2,666,945", -   , -   , -   ,"4,496","2,772",
E02000545,Hounslow 020,88,86, -   ,"39,184", -   ,"5,282","16,072",163, -   , -   ,"1,625", -   , -   , -   , -   , -   ,"4,237",67,
E02000546,Hounslow 021,"2,021","69,153", -   , -   , -   ,858,"6,348", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,78,
E02000547,Hounslow 022,922,"28,515", -   , -   , -   ,"7,803","6,348", -   , -   , -   ,"1,625", -   , -   , -   , -   , -   , -   ,45,
E02000548,Hounslow 023,"1,364","46,701", -   , -   , -   ,"5,624","1,243", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,55,
E02000549,Hounslow 024,"1,085","36,918", -   , -   , -   ,513,"6,209", -   , -   ,713,549, -   , -   , -   , -   , -   ,"5,657",52,
E02000550,Hounslow 025,74,"2,536", -   , -   , -   ,858,"5,864", -   , -   , -   ,"3,250", -   , -   , -   , -   , -   , -   ,13,
E02000551,Hounslow 026,"1,202","41,079", -   , -   , -   ,858,"5,174",327, -   , -   , -   , -   , -   , -   , -   , -   ,"4,313",53,
E02000552,Hounslow 027,"2,055","68,546", -   , -   , -   ,858,"6,348", -   , -   ,636, -   , -   , -   , -   , -   , -   ,"18,760",97,
E02000553,Hounslow 028,742,"22,224", -   , -   , -   ,"3,990","1,183", -   , -   , -   ,137, -   , -   , -   , -   , -   ,"3,426",32,
E02000554,Islington 001,117,"4,020", -   , -   , -   ,475,"1,304",327, -   , -   , -   , -   , -   , -   , -   , -   , -   ,6,
E02000555,Islington 002,49,"1,664","33,000", -   , -   ,595,"4,928", -   , -   , -   ,137, -   , -   , -   , -   ,"3,458", -   ,44,
E02000556,Islington 003,51,"1,763", -   , -   , -   ,"4,066","5,913",163, -   , -   ,275, -   , -   , -   , -   , -   ,"10,825",23,
E02000557,Islington 004,101,"3,471", -   , -   , -   ,"3,914","1,501",817, -   , -   , -   , -   , -   , -   , -   , -   ,"9,118",19,
E02000558,Islington 005,26,904, -   , -   , -   ,"4,142","7,244", -   , -   , -   ,137, -   , -   ,189, -   , -   ,"4,785",17,
E02000559,Islington 006,79,"2,630", -   , -   , -   ,"4,256","5,273", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,402",17,
E02000560,Islington 007,29,976,"156,750", -   , -   ,"4,028","5,519",490, -   , -   ,824, -   , -   , -   , -   ,"6,496","4,080",179,
E02000561,Islington 008,63,"2,173", -   , -   , -   ,"4,332","1,395",327, -   , -   , -   , -   , -   , -   , -   , -   ,"3,466",12,
E02000562,Islington 009,149,"5,087", -   , -   , -   ,608,"6,948", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,423",17,
E02000563,Islington 010,48,"1,660", -   , -   , -   ,"4,180","5,273", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,977",16,
E02000564,Islington 011,53,"1,828", -   , -   , -   ,"4,294","6,406", -   , -   , -   ,137, -   , -   ,181, -   , -   ,"4,685",18,
E02000565,Islington 012,33,"1,140", -   , -   , -   ,"3,876","5,026", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"8,107",18,
E02000566,Islington 013,134,"4,082", -   , -   , -   ,"5,358","6,307", -   , -   , -   ,275, -   , -   , -   , -   , -   ,"4,354",21,
E02000567,Islington 014,69,"2,380","36,562", -   , -   ,"4,370","5,716", -   , -   , -   , -   , -   , -   , -   , -   ,"3,495","5,276",58,
E02000568,Islington 015,237,"8,123", -   , -   , -   ,"4,332","5,075", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"5,000",23,
E02000569,Islington 016,82,"2,817", -   , -   , -   ,"5,244","13,039",163, -   , -   ,275, -   , -   , -   , -   , -   ,"5,553",27,
E02000570,Islington 017,85,"2,923","48,991", -   , -   ,"4,066","6,554",163, -   , -   , -   , -   , -   ,186, -   ,"1,806","4,522",69,
E02000571,Islington 018,69,"2,355", -   , -   , -   ,"4,598","6,110", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,554",18,
E02000572,Islington 019,101,"3,467", -   , -   , -   ,"4,636","1,501", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"5,053",15,
E02000573,Islington 020,57,"1,941","148,245", -   , -   ,"7,701","17,588",163, -   , -   ,549, -   , -   , -   ,"58,798","12,552","4,631",252,
E02000574,Islington 021,61,"2,090", -   , -   , -   ,"5,016","6,800", -   , -   , -   , -   , -   , -   ,189, -   , -   ,"4,768",19,
E02000575,Islington 022,102,"3,495", -   , -   , -   ,"8,056","14,859",490, -   , -   ,275,"77,101", -   , -   , -   , -   ,"6,364",111,
E02000576,Islington 023,38,"1,313", -   , -   , -   ,"9,829","12,584",490, -   , -   ,824,"25,744", -   ,184, -   , -   ,"5,519",57,
E02000577,Kensington and Chelsea 001,94,"3,216", -   , -   , -   ,"5,624","13,191", -   , -   , -   ,137, -   , -   , -   , -   , -   ,"4,684",27,
E02000578,Kensington and Chelsea 002,68,"2,275", -   , -   , -   ,"4,902","5,962", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,809",17,
E02000579,Kensington and Chelsea 003,70,"2,395", -   , -   , -   ,"4,750","6,948",327, -   , -   , -   , -   , -   , -   , -   , -   ,"4,445",19,
E02000580,Kensington and Chelsea 004,18,605, -   , -   , -   ,"5,320","24,486",163, -   , -   ,275, -   , -   , -   , -   , -   ,"4,646",36,
E02000581,Kensington and Chelsea 005,74,"2,521", -   , -   , -   ,"4,560","6,849",327, -   , -   , -   , -   , -   , -   , -   , -   ,"4,671",19,
E02000582,Kensington and Chelsea 006, -   , -   ,"23,406", -   , -   ,"9,018","29,717",490, -   , -   ,412, -   , -   , -   , -   ,"2,426","4,697",70,
E02000583,Kensington and Chelsea 007,100,"3,422", -   , -   , -   ,"9,322","20,165",163, -   , -   ,137, -   , -   , -   , -   , -   ,"4,339",38,
E02000584,Kensington and Chelsea 008,2,51, -   , -   , -   ,"9,930","30,703",327, -   , -   , -   , -   , -   , -   , -   , -   ,"4,746",46,
E02000585,Kensington and Chelsea 009,6,194, -   , -   , -   ,"8,866","16,981",163, -   , -   , -   , -   , -   , -   , -   , -   ,"5,102",31,
E02000586,Kensington and Chelsea 010,14,492, -   , -   , -   ,"20,404","21,378", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"9,947",52,
E02000587,Kensington and Chelsea 011,49,"1,677", -   , -   , -   ,"9,272","35,176",327, -   , -   ,824, -   , -   , -   , -   , -   ,"4,625",52,
E02000588,Kensington and Chelsea 012,61,"2,091", -   , -   , -   ,"25,076","41,619",163, -   , -   ,412, -   , -   , -   , -   , -   ,"4,753",74,
E02000589,Kensington and Chelsea 013,31,"1,071","77,018", -   , -   ,551,"17,815",163, -   , -   ,412, -   , -   ,190, -   ,"7,076", -   ,104,
E02000590,Kensington and Chelsea 014,30,"1,044", -   , -   , -   ,"22,215","36,540",490, -   , -   ,137, -   , -   ,545, -   , -   ,"4,866",66,
E02000591,Kensington and Chelsea 015,31,"1,065", -   , -   , -   ,"4,446","17,739", -   , -   , -   ,"2,174", -   , -   , -   , -   , -   ,"3,936",29,
E02000592,Kensington and Chelsea 016,89,"3,050", -   , -   , -   ,"20,976","22,743",163, -   , -   ,275, -   , -   , -   , -   , -   ,"4,396",52,
E02000593,Kensington and Chelsea 017,0,5, -   , -   , -   ,"1,120","19,483",327, -   , -   , -   , -   , -   , -   , -   , -   ,"4,349",25,
E02000594,Kensington and Chelsea 018, -   , -   , -   , -   , -   ,"23,836","42,984", -   , -   , -   ,137, -   , -   , -   , -   , -   ,"4,723",72,
E02000595,Kensington and Chelsea 019,13,457, -   , -   , -   ,"21,453","26,457", -   , -   , -   ,412, -   , -   , -   , -   , -   ,"4,619",53,
E02000596,Kensington and Chelsea 020, -   , -   , -   , -   , -   ,"1,120","20,848",163, -   , -   ,549, -   , -   , -   , -   , -   ,"4,300",27,
E02000597,Kensington and Chelsea 021,1,49, -   , -   , -   ,"8,765","15,086", -   , -   , -   ,275, -   , -   , -   , -   , -   ,"4,973",29,
E02000598,Kingston upon Thames 001,47,94, -   , -   , -   ,"5,320","6,077",327, -   , -   ,137, -   , -   , -   , -   , -   , -   ,12,
E02000599,Kingston upon Thames 002,25,127, -   , -   , -   ,795,"6,077", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,7,
E02000600,Kingston upon Thames 003,276,"9,374", -   , -   ,980,"4,560","5,420", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,21,
E02000601,Kingston upon Thames 004,120,"4,106", -   , -   , -   ,"7,701","7,046",163, -   , -   , -   , -   , -   , -   , -   , -   , -   ,19,
E02000602,Kingston upon Thames 005,173,"5,938", -   , -   , -   ,"5,282","6,258",654, -   ,713,"1,625", -   , -   , -   , -   , -   , -   ,21,
E02000603,Kingston upon Thames 006,373,"11,766", -   , -   , -   ,469,"11,599", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"5,019",29,
E02000604,Kingston upon Thames 007,518,"15,012", -   , -   , -   ,"5,396","6,652",490, -   , -   ,686, -   , -   , -   , -   , -   , -   ,29,
E02000605,Kingston upon Thames 008,415,"12,263", -   , -   , -   ,"4,028","5,667", -   ,"7,790", -   , -   , -   , -   , -   , -   , -   ,"4,887",35,
E02000606,Kingston upon Thames 009,164,"5,602", -   ,"29,179", -   ,"4,826","17,967",327, -   , -   ,686, -   , -   , -   , -   , -   ,"9,565",68,
E02000607,Kingston upon Thames 010,272,"7,834", -   , -   ,"13,532","4,674","6,077", -   , -   , -   , -   , -   ,"340,652", -   , -   , -   ,"9,117",382,
E02000608,Kingston upon Thames 011,162,"5,544", -   , -   , -   ,"7,904","11,371", -   , -   , -   ,824, -   , -   , -   , -   , -   , -   ,26,
E02000609,Kingston upon Thames 012,245,"7,574", -   , -   , -   ,795,"1,274",163, -   , -   , -   , -   , -   , -   , -   , -   ,"4,506",15,
E02000610,Kingston upon Thames 013,279,"9,565", -   , -   , -   ,"4,370","5,273", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,19,
E02000611,Kingston upon Thames 014,533,"13,304", -   , -   , -   ,795,"1,289", -   , -   , -   ,137, -   , -   , -   , -   , -   ,"9,602",26,
E02000612,Kingston upon Thames 015,648,"21,704", -   , -   , -   ,795,"6,077", -   , -   , -   ,275, -   , -   , -   , -   , -   ,"4,977",34,
E02000613,Kingston upon Thames 016,169,"5,785", -   , -   , -   ,795,"1,304", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,8,
E02000614,Kingston upon Thames 017,"1,618","53,364", -   , -   , -   ,"4,560","5,371", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"5,496",70,
E02000615,Kingston upon Thames 018,436,"13,138", -   , -   , -   ,"3,990","5,371",163, -   , -   ,275, -   , -   , -   , -   , -   ,"9,504",33,
E02000616,Kingston upon Thames 019,226,"6,772", -   , -   , -   ,795,"6,077", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,763",18,
E02000617,Kingston upon Thames 020,"1,847","62,328", -   , -   , -   ,"5,282","4,928",327, -   , -   , -   , -   , -   , -   , -   , -   ,"5,242",80,
E02000618,Lambeth 001,100,"3,420","46,841", -   , -   ,"8,005","27,216",163, -   , -   ,275, -   , -   ,187, -   ,"2,938","4,536",94,
E02000619,Lambeth 002,96,"3,291", -   , -   , -   ,"5,130",940, -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,496",14,
E02000620,Lambeth 003,119,"3,969","22,075", -   , -   ,"7,803","5,470", -   , -   , -   ,"1,625", -   , -   ,187, -   ,"3,332","10,850",55,
E02000621,Lambeth 004,84,"2,860", -   , -   , -   ,"8,866","12,054", -   , -   , -   ,137, -   , -   ,181, -   , -   ,"5,483",30,
E02000622,Lambeth 005,195,"6,664", -   , -   , -   ,"4,408","1,228", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,277",17,
E02000623,Lambeth 006,54,"1,846", -   , -   , -   ,653,"1,016", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,345",8,
E02000624,Lambeth 007,137,"4,528", -   , -   , -   ,393,"1,122", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,400",11,
E02000625,Lambeth 008,124,"4,250", -   , -   , -   ,"4,256","1,395", -   , -   , -   , -   , -   , -   ,194, -   , -   ,"5,066",15,
E02000626,Lambeth 009,50,"1,709", -   , -   , -   ,532,"1,031", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,745",8,
E02000627,Lambeth 010,40,"1,363", -   , -   , -   ,570,"1,122", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,913",8,
E02000628,Lambeth 011,119,"4,070", -   , -   , -   ,545,"6,406", -   , -   , -   ,137, -   , -   ,377, -   , -   ,"5,631",17,
E02000629,Lambeth 012,34,"1,095", -   , -   , -   ,"3,800","6,061", -   , -   , -   ,275, -   , -   , -   , -   , -   ,"4,808",16,
E02000630,Lambeth 013,113,"3,862","24,162", -   , -   ,"4,522","7,145", -   , -   , -   , -   , -   , -   , -   , -   ,"2,867","3,767",46,
E02000631,Lambeth 014,238,"8,149","244,668", -   , -   ,653,"1,243", -   , -   ,"2,398", -   , -   , -   , -   , -   ,"8,713","4,741",271,
E02000632,Lambeth 015,14,486, -   , -   , -   ,"4,864","5,716", -   , -   , -   ,549, -   , -   , -   , -   , -   ,"5,118",17,
E02000633,Lambeth 016,120,"4,107","32,014", -   , -   ,551,"5,026", -   , -   , -   ,"1,762", -   , -   , -   , -   ,"3,082","4,446",51,
E02000634,Lambeth 017,69,"2,357", -   , -   , -   ,"3,800","13,342", -   , -   , -   ,137, -   , -   , -   , -   , -   ,"3,846",24,
E02000635,Lambeth 018, -   , -   , -   , -   , -   ,399,"1,137", -   , -   , -   ,137, -   , -   , -   , -   , -   ,"9,466",11,
E02000636,Lambeth 019,419,"14,359", -   , -   , -   ,653,"13,418", -   , -   , -   ,"1,625", -   , -   ,188, -   , -   ,"3,873",35,
E02000637,Lambeth 020,1,30, -   , -   , -   ,"4,522","1,258", -   , -   , -   ,137, -   , -   , -   , -   , -   ,"4,295",10,
E02000638,Lambeth 021,191,"6,442", -   , -   , -   ,653,"1,228", -   , -   , -   ,137, -   , -   , -   , -   , -   ,"4,948",14,
E02000639,Lambeth 022,191,"6,552", -   , -   , -   ,653,"7,342", -   , -   , -   ,137, -   , -   , -   , -   , -   ,"4,835",20,
E02000640,Lambeth 023,75,"2,560", -   , -   , -   ,"3,952","5,476", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,752",17,
E02000641,Lambeth 024,0,9, -   , -   , -   ,653,"1,289", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,
E02000642,Lambeth 025,139,90, -   , -   , -   ,602,"1,486", -   , -   , -   ,412, -   , -   , -   , -   , -   ,"5,143",8,
E02000643,Lambeth 026,106,"3,620", -   , -   , -   ,653,"1,243", -   , -   , -   ,412, -   , -   , -   , -   , -   ,"18,327",24,
E02000644,Lambeth 027,54,"1,854", -   , -   , -   ,653,"1,395", -   , -   , -   ,549, -   , -   , -   , -   , -   , -   ,5,
E02000645,Lambeth 028,7,143,"52,791", -   , -   ,355,"1,365", -   , -   , -   , -   , -   , -   , -   , -   ,"2,792","4,803",62,
E02000646,Lambeth 029,95,"3,262", -   , -   , -   ,621,"6,209", -   , -   , -   ,824, -   , -   , -   , -   , -   , -   ,11,
E02000647,Lambeth 030,55,"1,870", -   , -   , -   ,653,"5,476", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,8,
E02000648,Lambeth 031,5,2, -   , -   , -   ,653,"5,476", -   , -   ,"1,272", -   , -   , -   , -   , -   , -   ,"4,004",11,
E02000649,Lambeth 032,45,"1,524", -   , -   , -   ,494,"1,243", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"5,634",9,
E02000650,Lambeth 033,206,"7,069", -   , -   , -   ,450,"1,319", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,320",13,
E02000651,Lambeth 034,68,"2,334", -   , -   , -   ,583,"5,765", -   , -   , -   ,137, -   , -   , -   , -   , -   ,"4,512",13,
E02000652,Lambeth 035,51,"1,214", -   , -   , -   ,602,"5,476", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,944",11,
E02000653,Lewisham 001,223,"7,417", -   , -   , -   ,"4,142","6,455", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,446",23,
E02000654,Lewisham 002,295,"9,957", -   , -   , -   ,532,"1,137",327, -   , -   , -   , -   , -   , -   , -   , -   ,"4,565",17,
E02000655,Lewisham 003,173,"5,923", -   , -   ,"504,909",485,"11,447",163, -   , -   ,137, -   , -   , -   , -   , -   ,"4,802",528,
E02000656,Lewisham 004,211,"6,831","193,702", -   , -   ,507,"1,152",163, -   , -   , -   , -   , -   , -   , -   ,"8,463","4,888",216,
E02000657,Lewisham 005,112,"3,121", -   , -   , -   ,443,"1,198",163, -   , -   ,137, -   , -   , -   , -   , -   ,"4,957",10,
E02000658,Lewisham 006,155,"5,309", -   , -   , -   ,488,"1,167",163, -   , -   , -   , -   , -   , -   , -   , -   ,"4,674",12,
E02000659,Lewisham 007,461,"15,774", -   , -   , -   ,602,"11,447",163, -   , -   , -   , -   , -   , -   , -   , -   ,"4,200",33,
E02000660,Lewisham 008,104,"3,544", -   , -   , -   ,469,"1,076", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,374",10,
E02000661,Lewisham 009,963,"32,671", -   , -   , -   ,481,"13,570", -   , -   , -   ,137, -   , -   , -   , -   , -   ,"3,328",51,
E02000662,Lewisham 010,143,"4,086", -   , -   , -   ,323,970,163, -   , -   , -   , -   , -   , -   , -   , -   ,"4,216",10,
E02000663,Lewisham 011,159,"5,435", -   , -   , -   ,485,"5,519", -   , -   , -   ,137, -   , -   , -   , -   , -   ,"3,920",16,
E02000664,Lewisham 012,344,"11,573", -   , -   , -   ,551,"6,702",327, -   , -   ,"1,762", -   , -   , -   , -   , -   ,"5,169",26,
E02000665,Lewisham 013,75,"2,448","24,495", -   , -   ,538,"5,026", -   , -   , -   , -   , -   , -   , -   , -   ,"2,009","7,627",42,
E02000666,Lewisham 014,282,"9,646", -   , -   , -   ,485,"1,319", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,169",16,
E02000667,Lewisham 015,127,"4,360", -   , -   , -   ,443,"1,319",163, -   , -   , -   , -   , -   , -   , -   , -   ,"3,584",10,
E02000668,Lewisham 016,40,"1,354", -   , -   , -   ,485,"5,568", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,7,
E02000669,Lewisham 017,24,824, -   , -   , -   ,475,"1,304", -   , -   , -   ,137, -   , -   , -   , -   , -   ,"4,141",7,
E02000670,Lewisham 018,211,"6,988", -   , -   , -   ,431,"5,913", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"8,042",22,
E02000671,Lewisham 019,220,"7,412", -   , -   , -   ,475,"1,258",163, -   , -   , -   , -   , -   , -   , -   , -   , -   ,10,
E02000672,Lewisham 020,399,"13,642", -   , -   , -   ,443,"5,026",490, -   , -   ,"2,723", -   , -   , -   , -   , -   ,"4,596",27,
E02000673,Lewisham 021,112,"3,821", -   , -   , -   ,412,"5,273",163, -   , -   ,275, -   , -   , -   , -   , -   , -   ,10,
E02000674,Lewisham 022,18,152, -   , -   , -   ,485,"1,107", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,
E02000675,Lewisham 023,281,"8,081", -   , -   , -   ,485,"1,183", -   , -   , -   ,137, -   , -   , -   , -   , -   ,"4,567",15,
E02000676,Lewisham 024,44,"1,372","32,846", -   , -   ,557,"1,167", -   , -   , -   ,137, -   , -   , -   , -   ,"1,779", -   ,38,
E02000677,Lewisham 025,39,"1,147", -   , -   , -   ,450,"1,440", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"8,403",11,
E02000678,Lewisham 026,209,"6,542", -   , -   , -   ,485,"5,012", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,12,
E02000679,Lewisham 027,244,"7,880", -   , -   , -   ,485,"1,243", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,203",14,
E02000680,Lewisham 028,164,"5,603","160,766", -   , -   ,399,"1,198",327, -   , -   , -   , -   , -   , -   , -   ,"10,754", -   ,179,
E02000681,Lewisham 029,670,"18,414", -   , -   , -   ,485,"11,675",327, -   , -   , -   , -   , -   , -   , -   , -   ,"8,855",40,
E02000682,Lewisham 030,308,"10,011","35,691", -   , -   ,485,"5,012",163, -   , -   , -   , -   , -   , -   , -   ,"3,311", -   ,55,
E02000683,Lewisham 031,128,"3,570", -   , -   , -   ,481,"6,110", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,710",14,
E02000684,Lewisham 032,240,"8,170", -   , -   , -   ,485,"5,125",327, -   , -   ,275, -   , -   , -   , -   , -   ,"7,616",22,
E02000685,Lewisham 033,320,"10,144", -   , -   , -   ,485,"1,440",327, -   , -   ,275, -   , -   , -   , -   , -   , -   ,13,
E02000686,Lewisham 034,"1,247","41,806", -   , -   , -   ,469,"1,289",327, -   , -   ,137, -   , -   , -   , -   , -   ,"3,792",49,
E02000687,Lewisham 035,44,960, -   , -   , -   ,507,"1,304", -   , -   , -   ,549, -   , -   , -   , -   , -   , -   ,3,
E02000688,Lewisham 036,808,"27,152", -   , -   , -   ,485,"6,751", -   , -   , -   ,137, -   , -   , -   , -   , -   ,"4,091",39,
E02000689,Merton 001,96,"1,713","411,164", -   , -   ,714,"12,281",163, -   , -   , -   , -   , -   , -   ,"58,798","29,150","4,771",519,
E02000690,Merton 002,458,"15,284", -   , -   , -   ,"20,499","6,333",163, -   , -   , -   , -   , -   , -   , -   , -   , -   ,43,
E02000691,Merton 003,41,"1,246", -   , -   , -   ,"7,853","19,331", -   , -   , -   ,549, -   , -   , -   , -   , -   , -   ,29,
E02000692,Merton 004,34,"1,166", -   , -   , -   ,"9,424","16,072",163, -   , -   ,275, -   , -   , -   , -   , -   , -   ,27,
E02000693,Merton 005,272,"9,318", -   , -   , -   ,589,"15,465",327, -   , -   ,137, -   , -   , -   , -   , -   ,"5,322",31,
E02000694,Merton 006,85,"2,850", -   , -   , -   ,"4,522","6,899",163, -   , -   ,137, -   , -   , -   , -   , -   ,"5,306",20,
E02000695,Merton 007,53,401, -   , -   , -   ,714,"1,425", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,900",7,
E02000696,Merton 008,94,"2,824","51,954", -   , -   ,714,"1,289", -   , -   , -   , -   , -   , -   , -   , -   ,"2,779","5,035",65,
E02000697,Merton 009,185,"6,332","92,085", -   , -   ,"8,309","12,584",163, -   , -   ,686, -   , -   ,185, -   ,"4,081","13,874",138,
E02000698,Merton 010,664,"20,477", -   , -   , -   ,"4,560","6,333", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,32,
E02000699,Merton 011,157,"5,391","24,733", -   , -   ,595,"5,125", -   , -   , -   , -   , -   , -   , -   , -   ,"3,733","4,805",45,
E02000700,Merton 012,183,"4,284", -   , -   , -   ,564,"6,333", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,962",16,
E02000701,Merton 013,290,"8,632", -   , -   , -   ,"3,952","5,223",163, -   , -   , -   , -   , -   , -   , -   , -   ,"5,213",23,
E02000702,Merton 014,"1,061","36,321", -   , -   , -   ,714,"5,075", -   , -   ,713, -   , -   , -   , -   , -   , -   ,"4,542",48,
E02000703,Merton 015,166,"5,672", -   , -   , -   ,"4,104","1,258", -   , -   , -   ,137, -   , -   , -   , -   , -   ,"4,565",16,
E02000704,Merton 016,806,"25,131", -   , -   , -   ,"3,876","5,716",327, -   , -   ,"1,625", -   , -   , -   , -   , -   ,"19,082",57,
E02000705,Merton 017,375,"12,189", -   , -   , -   ,714,"5,371", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"5,039",24,
E02000706,Merton 018,140,"4,778", -   , -   , -   ,513,"1,486",163, -   , -   ,"2,037", -   , -   , -   , -   , -   ,"5,107",14,
E02000707,Merton 019,716,"24,062", -   , -   , -   ,714,"6,333", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,420",36,
E02000708,Merton 020,795,"26,808", -   , -   , -   ,614,"15,314", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,987",49,
E02000709,Merton 021,610,"19,312", -   , -   , -   ,714,"1,167", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"14,433",36,
E02000710,Merton 022,220,"7,461", -   , -   , -   ,443,"1,501",163, -   , -   , -   , -   , -   , -   , -   , -   ,"40,790",51,
E02000711,Merton 023,280,"9,598", -   , -   , -   ,405,"5,174", -   , -   , -   ,549, -   , -   , -   , -   , -   , -   ,16,
E02000712,Merton 024,941,"30,896", -   , -   , -   ,608,"1,152", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,34,
E02000713,Merton 025,289,"9,900", -   , -   , -   ,456,"5,075", -   , -   ,713, -   , -   , -   , -   , -   , -   ,"4,209",21,
E02000714,Newham 001,28,970, -   , -   , -   ,317,"1,016", -   , -   , -   ,275, -   , -   , -   , -   , -   , -   ,3,
E02000715,Newham 002,42,"1,444", -   , -   , -   ,539,"1,471", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,329",7,
E02000716,Newham 003,27,50, -   , -   , -   ,539,"1,258", -   , -   ,713,275, -   , -   , -   , -   , -   ,"10,371",13,
E02000717,Newham 004,28,949, -   , -   , -   ,462,"1,456", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,3,
E02000718,Newham 005,316,"10,513", -   , -   , -   ,539,326, -   , -   , -   , -   , -   , -   , -   , -   , -   ,"11,833",24,
E02000719,Newham 006,46,"1,566", -   , -   , -   ,539,"1,410", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,4,
E02000720,Newham 007,5,180, -   , -   , -   ,539,"5,075", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,6,
E02000721,Newham 008,18,606, -   , -   , -   ,564,"1,228", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,
E02000722,Newham 009,16,563, -   , -   , -   ,551,"1,304",163, -   , -   , -   , -   , -   , -   , -   , -   , -   ,3,
E02000723,Newham 010,117,"3,991", -   , -   , -   ,526,"5,568", -   , -   , -   ,824, -   , -   , -   , -   , -   , -   ,11,
E02000724,Newham 011,10,359, -   , -   , -   ,539,"1,440", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,
